N,threads,avg_time_sec,avg_power_watts,energy_mJ,gflops,gflops_per_watt,energy_per_flop_pj,occupancy_percent
256,2,0.0283263,25.0,708.1575,3.5537,0.142148,7.03491,12.50
256,4,0.0157146,25.0,392.8650,6.40572,0.256229,3.90276,25.00
256,8,0.0200136,25.0,500.3400,5.02974,0.20119,4.97043,50.00
256,16,0.027066,25.0,676.6500,3.71918,0.148767,6.72191,100.00
256,16,0.0213289,25.0,533.2225,4.71957,0.188783,5.29709,100.00
512,2,0.0532737,25.0,1331.8425,15.1164,0.604656,1.65383,12.50
512,4,0.0396872,25.0,992.1800,20.2913,0.811652,1.23205,25.00
512,8,0.0409176,25.0,1022.9400,19.6812,0.787248,1.27025,50.00
512,16,0.0683029,25.0,1707.5725,11.7902,0.471608,2.1204,100.00
512,16,0.0511718,25.0,1279.2950,15.7373,0.629492,1.58858,100.00
1024,2,0.281499,25.0,7037.4750,22.8862,0.915448,1.09236,12.50
1024,4,0.198116,25.0,4952.9000,32.5186,1.30074,0.768791,25.00
1024,8,0.187923,25.0,4698.0750,34.2824,1.3713,0.729237,50.00
1024,16,0.171345,25.0,4283.6250,37.5993,1.50397,0.664906,100.00
1024,16,0.192299,25.0,4807.4750,33.5023,1.34009,0.746218,100.00
2048,2,2.26777,25.0,56694.2500,22.727,0.90908,1.10001,12.50
2048,4,1.75411,25.0,43852.7500,29.3822,1.17529,0.850855,25.00
2048,8,1.21979,25.0,30494.7500,42.2529,1.69012,0.591676,50.00
2048,16,0.902064,25.0,22551.6000,57.1352,2.28541,0.437559,100.00
2048,16,1.12185,25.0,28046.2500,45.9416,1.83766,0.544169,100.00
