N,threads,avg_time_sec,avg_power_watts,energy_mJ,gflops,gflops_per_watt,energy_per_flop_pj,occupancy_percent
256,2,0.0513141,25.0,1282.8525,1.96171,0.0784684,12.744,12.50
256,4,0.00329351,25.0,82.3377,30.5641,1.22256,0.817952,25.00
256,8,0.00293779,25.0,73.4447,34.265,1.3706,0.729608,50.00
256,16,0.00255919,25.0,63.9798,39.334,1.57336,0.635582,100.00
256,32,0.00308824,25.0,77.2060,32.5957,1.30383,0.766973,200.00
512,2,0.00311351,25.0,77.8377,258.649,10.346,0.096656,12.50
512,4,0.00348306,25.0,87.0765,231.207,9.24828,0.108128,25.00
512,8,0.00330853,25.0,82.7133,243.403,9.73612,0.10271,50.00
512,16,0.00360107,25.0,90.0268,223.63,8.9452,0.111792,100.00
512,32,0.00369239,25.0,92.3097,218.099,8.72396,0.114627,200.00
1024,2,0.00303531,25.0,75.8828,2122.5,84.9,0.0117786,12.50
1024,4,0.00347567,25.0,86.8918,1853.59,74.1436,0.0134874,25.00
1024,8,0.00407767,25.0,101.9418,1579.93,63.1972,0.0158234,50.00
1024,16,0.00353527,25.0,88.3818,1822.34,72.8936,0.0137187,100.00
1024,32,0.00342226,25.0,85.5565,1882.51,75.3004,0.0132801,200.00
2048,2,0.00330091,25.0,82.5228,15613.8,624.552,0.00160115,12.50
2048,4,0.00347161,25.0,86.7903,14846,593.84,0.00168395,25.00
2048,8,0.0039134,25.0,97.8350,13170,526.8,0.00189825,50.00
2048,16,0.00314331,25.0,78.5827,16396.6,655.864,0.00152471,100.00
2048,32,0.00300646,25.0,75.1615,17143,685.72,0.00145833,200.00
4096,2,0.00326896,25.0,81.7240,126131,5045.24,0.000198207,12.50
4096,4,0.00294781,25.0,73.6953,139872,5594.88,0.000178735,25.00
4096,8,0.00309253,25.0,77.3132,133327,5333.08,0.000187509,50.00
4096,16,0.00315833,25.0,78.9582,130549,5221.96,0.000191499,100.00
4096,32,0.00298429,25.0,74.6072,138162,5526.48,0.000180946,200.00
8192,2,0.00318599,25.0,79.6498,1.03532e+06,41412.8,2.4147e-05,12.50
8192,4,0.00331569,25.0,82.8923,994826,39793,2.513e-05,25.00
8192,8,0.00334716,25.0,83.6790,985473,39418.9,2.53685e-05,50.00
8192,16,0.00311732,25.0,77.9330,1.05813e+06,42325.2,2.36266e-05,100.00
8192,32,0.0031147,25.0,77.8675,1.05902e+06,42360.8,2.36067e-05,200.00
