Version,N,BLOCK_SIZE,THREADS,Time_sec,GFLOPs
blocked,512,16,,0.77,1.05
blocked,512,32,,1.14,0.71
blocked,512,64,,1.77,0.46
blocked,512,128,,2.44,0.33
blocked_omp,512,16,2,0.34,2.34
blocked_omp,512,16,4,0.18,4.60
blocked_omp,512,16,8,0.21,3.79
blocked_omp,512,16,16,0.13,6.39
blocked_omp,512,16,32,0.15,5.33
blocked_omp,512,16,64,0.09,8.73
blocked_omp,512,32,2,0.50,1.63
blocked_omp,512,32,4,0.25,3.19
blocked_omp,512,32,8,0.13,6.20
blocked_omp,512,32,16,0.14,5.60
blocked_omp,512,32,32,0.12,6.78
blocked_omp,512,32,64,0.10,8.43
blocked_omp,512,64,2,0.73,1.10
blocked_omp,512,64,4,0.37,2.17
blocked_omp,512,64,8,0.19,4.15
blocked_omp,512,64,16,0.12,6.62
blocked_omp,512,64,32,0.14,5.78
blocked_omp,512,64,64,0.10,8.38
blocked_omp,512,128,2,1.19,0.68
blocked_omp,512,128,4,0.59,1.36
blocked_omp,512,128,8,0.31,2.64
blocked_omp,512,128,16,0.17,4.86
blocked_omp,512,128,32,0.20,3.97
blocked_omp,512,128,64,0.17,4.73
blas,512,,,0.10,8.38
blocked,1024,16,,4.79,1.35
blocked,1024,32,,8.74,0.74
blocked,1024,64,,13.29,0.48
blocked,1024,128,,21.49,0.30
blocked_omp,1024,16,2,2.07,3.12
blocked_omp,1024,16,4,1.04,6.19
blocked_omp,1024,16,8,0.53,12.17
blocked_omp,1024,16,16,0.52,12.44
blocked_omp,1024,16,32,0.51,12.62
blocked_omp,1024,16,64,0.36,17.84
blocked_omp,1024,32,2,3.50,1.84
blocked_omp,1024,32,4,1.76,3.67
blocked_omp,1024,32,8,0.88,7.29
blocked_omp,1024,32,16,0.83,7.74
blocked_omp,1024,32,32,0.70,9.19
blocked_omp,1024,32,64,0.55,11.74
blocked_omp,1024,64,2,5.97,1.08
blocked_omp,1024,64,4,2.97,2.17
blocked_omp,1024,64,8,1.47,4.39
blocked_omp,1024,64,16,1.03,6.24
blocked_omp,1024,64,32,0.89,7.24
blocked_omp,1024,64,64,0.68,9.46
blocked_omp,1024,128,2,10.72,0.60
blocked_omp,1024,128,4,5.31,1.21
blocked_omp,1024,128,8,2.68,2.41
blocked_omp,1024,128,16,1.36,4.75
blocked_omp,1024,128,32,0.98,6.58
blocked_omp,1024,128,64,0.82,7.89
blas,1024,,,0.25,26.16
blocked,2048,16,,40.60,1.27
blocked,2048,32,,101.63,0.51
blocked,2048,64,,963.06,0.05
blocked,2048,128,,976.60,0.05
blocked_omp,2048,16,2,18.94,2.72
blocked_omp,2048,16,4,9.21,5.59
blocked_omp,2048,16,8,4.67,11.03
blocked_omp,2048,16,16,3.74,13.76
blocked_omp,2048,16,32,3.30,15.64
blocked_omp,2048,16,64,2.77,18.60
blocked_omp,2048,32,2,47.22,1.09
blocked_omp,2048,32,4,23.09,2.23
blocked_omp,2048,32,8,11.63,4.43
blocked_omp,2048,32,16,8.11,6.35
blocked_omp,2048,32,32,8.11,6.36
blocked_omp,2048,32,64,5.01,10.30
blocked_omp,2048,64,2,462.00,0.11
blocked_omp,2048,64,4,228.48,0.23
blocked_omp,2048,64,8,115.74,0.45
blocked_omp,2048,64,16,59.03,0.87
blocked_omp,2048,64,32,24.44,2.11
blocked_omp,2048,64,64,13.15,3.92
blocked_omp,2048,128,2,471.80,0.11
blocked_omp,2048,128,4,234.23,0.22
blocked_omp,2048,128,8,121.18,0.43
blocked_omp,2048,128,16,59.10,0.87
blocked_omp,2048,128,32,23.26,2.22
blocked_omp,2048,128,64,13.65,3.77
blas,2048,,,0.41,126.93
blocked,4096,16,,490.42,0.84
blocked,4096,32,,12916.08,0.03
