N,threads,blocks,avg_time_ms,avg_power_watts,energy_mJ,total_mem_bytes,free_mem_bytes,avg_clock_mhz,min_clock_mhz,max_clock_mhz,avg_temp_c,gflops,gflops_per_watt,energy_per_flop_pj,occupancy_percent
256,4,64,0.000320,3.28,1.0496e-06,6442450944,6244270080,300,300,300,37,314573,95906.4,1.04268e-08,213.33
256,8,32,0.000323,20.65,6.66995e-06,6442450944,6244270080,1005,1005,1005,38,311651,15092.1,6.626e-08,213.33
256,4,64,0.0,3.68,0,6442450944,6244270080,300,300,300,53,0,0,0,0.00
256,8,32,0.0,3.89,0,6442450944,6244270080,300,300,300,53,0,0,0,0.00
256,16,16,0.0,10.88,0,6442450944,6244270080,300,300,300,54,0,0,0,0.00
256,32,8,0.0,23.85,0,6442450944,6244270080,1005,1005,1005,54,0,0,0,0.00
512,4,128,0.0,23.8,0,6442450944,6244270080,1005,1005,1005,55,0,0,0,0.00
512,8,64,0.0,3.82,0,6442450944,6244270080,360,360,360,54,0,0,0,0.00
512,16,32,0.0,3.9,0,6442450944,6244270080,360,360,360,54,0,0,0,0.00
512,32,16,0.0,23.87,0,6442450944,6244270080,1005,1005,1005,55,0,0,0,0.00
1024,4,256,0.0,10.46,0,6442450944,6244270080,360,360,360,55,0,0,0,0.00
1024,8,128,0.0,3.8,0,6442450944,6244270080,360,360,360,55,0,0,0,0.00
1024,16,64,0.0,20.63,0,6442450944,6244270080,375,375,375,56,0,0,0,0.00
1024,32,32,0.0,3.88,0,6442450944,6244270080,360,360,360,56,0,0,0,0.00
2048,4,512,0.0,3.72,0,6442450944,6244270080,360,360,360,55,0,0,0,0.00
2048,8,256,0.0,24.11,0,6442450944,6244270080,1005,1005,1005,57,0,0,0,0.00
2048,16,128,0.0,24.19,0,6442450944,6244270080,1005,1005,1005,57,0,0,0,0.00
2048,32,64,0.0,24.16,0,6442450944,6244270080,1005,1005,1005,58,0,0,0,0.00
4096,4,1024,0.0,67.155,0,6442450944,6244270080,1612.5,1335,1890,62,0,0,0,0.00
4096,8,512,0.0,70.27,0,6442450944,6244270080,1440,1005,1875,64,0,0,0,0.00
4096,16,256,0.0,69.425,0,6442450944,6244270080,1477.5,1080,1875,65,0,0,0,0.00
4096,32,128,0.0,70.86,0,6442450944,6244270080,1440,1005,1875,65,0,0,0,0.00
8192,4,2048,0.0,98.8933,0,6442450944,6244270080,1660,1185,375,70.8333,0,0,0,0.00
8192,8,1024,0.0,101.552,0,6442450944,6244270080,1633.75,1005,360,73.3333,0,0,0,0.00
8192,16,512,0.0,101.7,0,6442450944,6244270080,1701.25,1800,360,74,0,0,0,0.00
8192,32,256,0.0,102.2,0,6442450944,6244270080,1701.25,1800,360,74.4167,0,0,0,0.00
