Version,N,BLOCK_SIZE,THREADS,Time_sec,GFLOPs
naive_gpu,512,16,,0.233176,3.45
shared_gpu,512,16,,0.186803,4.31
cublas_gpu,512,,,,
naive_gpu,512,32,,0.008998,89.50
shared_gpu,512,32,,0.009733,82.74
cublas_gpu,512,,,,
naive_gpu,512,64,,0.003597,223.91
shared_gpu,512,64,,0.004168,193.19
cublas_gpu,512,,,,
naive_gpu,512,128,,0.003438,234.27
shared_gpu,512,128,,0.004075,197.63
cublas_gpu,512,,,,
naive_gpu,1024,16,,0.027428,234.88
shared_gpu,1024,16,,0.032450,198.54
cublas_gpu,1024,,,,
naive_gpu,1024,32,,0.029261,220.17
shared_gpu,1024,32,,0.028020,229.92
cublas_gpu,1024,,,,
naive_gpu,1024,64,,0.000251,25666.97
shared_gpu,1024,64,,0.000226,28541.58
cublas_gpu,1024,,,,
naive_gpu,1024,128,,0.000276,23372.02
shared_gpu,1024,128,,0.000301,21435.05
cublas_gpu,1024,,,,
naive_gpu,2048,16,,0.137639,374.45
shared_gpu,2048,16,,0.203556,253.20
cublas_gpu,2048,,,,
naive_gpu,2048,32,,0.204092,252.53
shared_gpu,2048,32,,0.184416,279.48
cublas_gpu,2048,,,,
naive_gpu,2048,64,,0.000239,216062.02
shared_gpu,2048,64,,0.000238,216835.78
cublas_gpu,2048,,,,
naive_gpu,2048,128,,0.000275,187524.76
shared_gpu,2048,128,,0.000283,182010.70
cublas_gpu,2048,,,,
naive_gpu,4096,16,,1.074939,383.57
shared_gpu,4096,16,,1.631346,252.75
cublas_gpu,4096,,,,
naive_gpu,4096,32,,1.592663,258.89
shared_gpu,4096,32,,1.485232,277.61
cublas_gpu,4096,,,,
naive_gpu,4096,64,,0.000213,1936472.77
shared_gpu,4096,64,,0.000171,2405335.63
cublas_gpu,4096,,,,
naive_gpu,4096,128,,0.000136,3042623.47
shared_gpu,4096,128,,0.000139,2968324.23
cublas_gpu,4096,,,,
naive_gpu,8192,16,,11.845555,278.46
shared_gpu,8192,16,,13.179343,250.28
cublas_gpu,8192,,,,
naive_gpu,8192,32,,13.035671,253.04
shared_gpu,8192,32,,11.956967,275.87
cublas_gpu,8192,,,,
naive_gpu,8192,64,,0.000203,16219665.73
shared_gpu,8192,64,,0.000010,327443514.38
cublas_gpu,8192,,,,
naive_gpu,8192,128,,0.000011,309733210.44
shared_gpu,8192,128,,0.000010,315806410.47
cublas_gpu,8192,,,,
naive_gpu,16384,16,,158.344863,166.65
shared_gpu,16384,16,,105.389455,250.39
cublas_gpu,16384,,,,
naive_gpu,16384,32,,105.318508,250.56
shared_gpu,16384,32,,95.650167,275.88
cublas_gpu,16384,,,,
naive_gpu,16384,64,,0.000011,2474891205.24
shared_gpu,16384,64,,0.004533,5821842.31
cublas_gpu,16384,,,,
naive_gpu,16384,128,,0.000015,1765055016.37
shared_gpu,16384,128,,0.000013,1983246128.82
cublas_gpu,16384,,,,
naive_gpu,32768,16,,-948982949039198699520.000000,-0.00
shared_gpu,32768,16,,0.000000,137594849650044321792.00
cublas_gpu,32768,,,,
naive_gpu,32768,32,,0.382646,551701.49
shared_gpu,32768,32,,54791276006960993918779392.000000,0.00
cublas_gpu,32768,,,,
naive_gpu,32768,64,,0.003665,57596914.73
shared_gpu,32768,64,,0.000293,721211939.87
cublas_gpu,32768,,,,
naive_gpu,32768,128,,0.000333,634553297.34
shared_gpu,32768,128,,0.000361,584442460.94
cublas_gpu,32768,,,,
